Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Link do ogłoszenia
Bezpośrednio 45m2 - 2,Bałuty,2,246 500,44.82,5 500,https://www.otodom.pl/oferta/bezposrednio-45m2-2-pokoje-ID48J4Z.html#ed7b2d23ec
Franciszkańska 139 - zielono cicho wygodnie,Bałuty,3,312 000,54.20,5 756,https://www.otodom.pl/oferta/franciszkanska-139-zielono-cicho-wygodnie-ID46DbN.html#ed7b2d23ec
Nowa kawalerka inwestycyjna na Ogrodowej 4- HIT!,Śródmieście,1,294 140,38.20,7 700,https://www.otodom.pl/pl/oferta/nowa-kawalerka-inwestycyjna-na-ogrodowej-4-hit-ID45YpV.html#ed7b2d23ec
Mieszkanie Retkinia-4242m2 - 2 pok piętro 10/11,Polesie Retkinia,2,286 000,42.42,6 742,https://www.otodom.pl/oferta/mieszkanie-retkinia-42-42m2-2-pok-pietro-10-11-ID494Uk.html#ed7b2d23ec
Nowe 2 Idealne Dla Pary lub inwestycyjnie,Śródmieście,2,256 624,41.24,6 223,https://www.otodom.pl/oferta/nowe-2-pokoje-idealne-dla-pary-lub-inwestycyjnie-ID494T3.html#ed7b2d23ec
Ogródek 38 m2! 2 w doskonałej lokalizacji,Śródmieście,2,262 624,41.04,6 399,https://www.otodom.pl/oferta/ogrodek-38-m2-2-pokoje-w-doskonalej-lokalizacji-ID494T2.html#ed7b2d23ec
Ustawne 3 dla Rodziny - Blisko Parków !,Śródmieście,3,302 702,50.04,6 049,https://www.otodom.pl/pl/oferta/ustawne-3-pokoje-dla-rodziny-blisko-parkow-ID494T1.html#ed7b2d23ec
Mieszkanie 4104 Łódź,Śródmieście,2,256 624,41.04,6 253,https://www.otodom.pl/oferta/mieszkanie-41-04-m-lodz-ID494SZ.html#ed7b2d23ec
3 dla Inwestotora - obok Politechniki!,Śródmieście,3,292 721,45.04,6 499,https://www.otodom.pl/pl/oferta/3-pokoje-dla-inwestotora-obok-politechniki-ID494T0.html#ed7b2d23ec
3 z Pięknym Ogródkiem! 200m Tramwaj,Śródmieście,3,295 645,48.53,6 092,https://www.otodom.pl/pl/oferta/3-pokoje-z-pieknym-ogrodkiem-200m-tramwaj-ID494SY.html#ed7b2d23ec
3 + widna kuchnia -&gt; obok Tramwaj,Śródmieście,3,301 228,49.03,6 144,https://www.otodom.pl/pl/oferta/3-pokoje-widna-kuchnia-obok-tramwaj-ID494SS.html#ed7b2d23ec
3 + Duży Balkon! Hit - blisko Sukcesji,Śródmieście,3,298 415,48.03,6 213,https://www.otodom.pl/pl/oferta/3-pokoje-duzy-balkon-hit-blisko-sukcesji-ID494SU.html#ed7b2d23ec
Bezpośrednio 45m2 - 2,Bałuty,2,246 500,44.82,5 500,https://www.otodom.pl/oferta/bezposrednio-45m2-2-pokoje-ID48J4Z.html#ed7b2d23ec
Apartament 2019 r w stylu glamour!,Bałuty,3,415 000,51,8 137,https://www.otodom.pl/oferta/apartament-2019-r-w-stylu-glamour-ID494Sh.html#ed7b2d23ec
Rozkładowe M3 37 m2 do remontu na Bałutach,Bałuty,2,195 000,37,5 270,https://www.otodom.pl/oferta/rozkladowe-m3-37-m2-do-remontu-na-balutach-ID494Qw.html#ed7b2d23ec
M3 rozkładowe na Bałutach,Bałuty,2,254 490,51,4 990,https://www.otodom.pl/pl/oferta/m3-rozkladowe-na-balutach-ID494Qu.html#ed7b2d23ec
Mieszkanie 4513 Łódź,Bałuty,2,229 000,45.13,5 074,https://www.otodom.pl/oferta/mieszkanie-45-13-m-lodz-ID494Qs.html#ed7b2d23ec
2-pokojowe Piotrkowska- Prywatna kamienica,Śródmieście,2,5 500,54,102,https://www.otodom.pl/pl/oferta/2-pokojowe-piotrkowska-prywatna-kamienica-ID494Q4.html#ed7b2d23ec
Dwa 42 m2 ul. Władysława Króla,Polesie Retkinia,2,263 000,42.50,6 188,https://www.otodom.pl/pl/oferta/dwa-pokoje-42-m2-ul-wladyslawa-krola-ID494PC.html#ed7b2d23ec
1-pokojowe ul. Piotrkowska z CO- Prywatna kamienic,Śródmieście,1,5 500,54,102,https://www.otodom.pl/pl/oferta/1-pokojowe-ul-piotrkowska-z-co-prywatna-kamienic-ID494Pf.html#ed7b2d23ec
Dwa 40m2! Promocja!,Śródmieście,2,265 090,40.29,6 580,https://www.otodom.pl/pl/oferta/dwa-pokoje-40m2-promocja-ID46bP7.html#ed7b2d23ec
Trzy 45m2 kup zanim ceny wzrosną!,Śródmieście,3,292 806,44.91,6 520,https://www.otodom.pl/pl/oferta/trzy-pokoje-45m2-kup-zanim-ceny-wzrosna-ID45iae.html#ed7b2d23ec
Mieszkanie 51m2+balkon 45m2 dwie sypialnie!,Śródmieście,3,309 962,51.35,6 036,https://www.otodom.pl/oferta/mieszkanie-51m2-balkon-4-5m2-dwie-sypialnie-ID46IgN.html#ed7b2d23ec
Apartament 51m22-3 sypialnie! Dla studentów!,Śródmieście,3,309 962,51.35,6 036,https://www.otodom.pl/pl/oferta/apartament-51m2-2-3-sypialnie-dla-studentow-ID46shb.html#ed7b2d23ec
Mieszkanie w apartamentowcu 40.89m2+ balkon!,Śródmieście,2,258 095,40.89,6 312,https://www.otodom.pl/pl/oferta/mieszkanie-w-apartamentowcu-40-89m2-balkon-ID45N7X.html#ed7b2d23ec
Dwa 41m2 Promocja!,Śródmieście,2,258 095,40.89,6 312,https://www.otodom.pl/pl/oferta/dwa-pokoje-41m2-promocja-ID48JVr.html#ed7b2d23ec
Stylowe 2-pokojowe mieszkanie po remoncie - GÓRNA,Górna,2,315 000,50.50,6 238,https://www.otodom.pl/oferta/stylowe-2-pokojowe-mieszkanie-po-remoncie-gorna-ID494uf.html#48eb315436
Śliczne 2 pokojowe ul. Cieszyńska 18,Górna,2,302 000,42,7 190,https://www.otodom.pl/pl/oferta/sliczne-2-pokojowe-ul-cieszynska-18-ID48WHB.html#48eb315436
Komfortowe mieszkanie na Retkini,Polesie,3,319 360,52.97,6 029,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-retkini-ID48v4E.html#48eb315436
Wyprzedaż 3-pokojowych mieszkań. Wybierz najlepsze,Śródmieście,3,297 000,48.37,6 140,https://www.otodom.pl/oferta/wyprzedaz-3-pokojowych-mieszkan-wybierz-najlepsze-ID494Og.html#48eb315436
