Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Bezpośrednio mieszkanie 2 32 m2 II piętro,Śródmieście,2,161700,32,5053,18-01-2021,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-2-pokoje-32-m2-ii-pietro-ID49tVz.html
2 pokojowe mieszkanie stan deweloperski Okazja,Górna Chojny,1,265500,37.94,6998,18-01-2021,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-stan-deweloperski-okazja-ID49lAM.html
Słoneczne rozkładowe 47m2 winda Łódź-Teofilów.,Bałuty Teofilów,2,279000,47,5936,18-01-2021,https://www.otodom.pl/pl/oferta/sloneczne-rozkladowe-47m2-winda-lodz-teofilow-ID47EWD.html
Jedyne takie 48m na Chojnach.,Górna Chojny,2,289000,48.16,6001,18-01-2021,https://www.otodom.pl/pl/oferta/jedyne-takie-48m-na-chojnach-ID49D0Q.html
Ciekawe 3 pokojowe 57m2 na Teofilowie,Bałuty Teofilów,3,300000,57,5263,18-01-2021,https://www.otodom.pl/pl/oferta/ciekawe-3-pokojowe-57m2-na-teofilowie-ID49D0P.html
Ciekawe rozkładowe 50m2 na Wschodnim Widzewie,Widzew,2,295000,50.01,5899,18-01-2021,https://www.otodom.pl/pl/oferta/ciekawe-rozkladowe-50m2-na-wschodnim-widzewie-ID49D0N.html
Zamieszkaj w Centrum - Apartamentowiec,Śródmieście,2,510000,68,7500,18-01-2021,https://www.otodom.pl/pl/oferta/zamieszkaj-w-centrum-apartamentowiec-ID49CYw.html
3 Kurak,Górna,3,405000,67,6045,18-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-kurak-ID49CXD.html
Mieszkanie 3750 Łódź,Bałuty Teofilów,2,245000,37.50,6533,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-37-50-m-lodz-ID49CVb.html
43m2 Górna osiedle Chełmońskiego,Górna,2,269000,43,6256,18-01-2021,https://www.otodom.pl/pl/oferta/43m2-gorna-osiedle-chelmonskiego-ID49CSO.html
sprzedam nowoczesne mieszkanie na Pomorska Park,Widzew Widzew-Wschód,2,360000,41.20,8738,18-01-2021,https://www.otodom.pl/pl/oferta/sprzedam-nowoczesne-mieszkanie-na-pomorska-park-ID49CQX.html
